YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-12,WEEKENDS/HOLIDAY,10,TRAIN,SE3,2276,742
2023-12,WEEKDAY,10,TRAIN,SE3,3682,1108
2023-12,WEEKDAY,9,TRAIN,EW16/NE3/TE17,23037,58270
2023-12,WEEKENDS/HOLIDAY,9,TRAIN,EW16/NE3/TE17,8149,9641
2023-12,WEEKENDS/HOLIDAY,18,TRAIN,NE16/STC,26916,32370
2023-12,WEEKDAY,18,TRAIN,NE16/STC,61148,118364
2023-12,WEEKDAY,12,TRAIN,TE3,7692,5897
2023-12,WEEKENDS/HOLIDAY,12,TRAIN,TE3,5447,2160
2023-12,WEEKENDS/HOLIDAY,5,TRAIN,EW15,251,40
2023-12,WEEKDAY,5,TRAIN,EW15,858,575
2023-12,WEEKDAY,18,TRAIN,NS7,36168,43655
2023-12,WEEKENDS/HOLIDAY,18,TRAIN,NS7,21225,15239
2023-12,WEEKDAY,0,TRAIN,NS15,426,1654
2023-12,WEEKENDS/HOLIDAY,0,TRAIN,NS15,343,1097
2023-12,WEEKENDS/HOLIDAY,15,TRAIN,NS15,7287,5565
2023-12,WEEKDAY,15,TRAIN,NS15,18364,11135
2023-12,WEEKENDS/HOLIDAY,22,TRAIN,DT7,1145,1614
2023-12,WEEKDAY,22,TRAIN,DT7,1745,3015
2023-12,WEEKDAY,15,TRAIN,PW4,4154,4947
2023-12,WEEKENDS/HOLIDAY,15,TRAIN,PW4,3272,3265
2023-12,WEEKENDS/HOLIDAY,22,TRAIN,TE4,1646,1580
2023-12,WEEKDAY,22,TRAIN,TE4,2696,2860
2023-12,WEEKENDS/HOLIDAY,15,TRAIN,EW23,24555,24318
2023-12,WEEKDAY,15,TRAIN,EW23,37748,37581
2023-12,WEEKDAY,20,TRAIN,NE8,36402,35454
2023-12,WEEKENDS/HOLIDAY,20,TRAIN,NE8,35462,22441
2023-12,WEEKENDS/HOLIDAY,19,TRAIN,EW33,3012,3003
2023-12,WEEKDAY,19,TRAIN,EW33,6433,6348
2023-12,WEEKENDS/HOLIDAY,8,TRAIN,TE16,2205,1565
2023-12,WEEKDAY,8,TRAIN,TE16,9050,11145
2023-12,WEEKDAY,6,TRAIN,CC16,4927,2524
2023-12,WEEKENDS/HOLIDAY,6,TRAIN,CC16,1623,744
2023-12,WEEKDAY,13,TRAIN,TE4,4142,2688
2023-12,WEEKENDS/HOLIDAY,13,TRAIN,TE4,2798,1992
2023-12,WEEKENDS/HOLIDAY,11,TRAIN,BP12,1750,678
2023-12,WEEKDAY,11,TRAIN,BP12,2757,1091
2023-12,WEEKENDS/HOLIDAY,13,TRAIN,NE17/PTC,28364,25600
2023-12,WEEKDAY,13,TRAIN,NE17/PTC,41439,37953
2023-12,WEEKDAY,7,TRAIN,BP5,4121,1931
2023-12,WEEKENDS/HOLIDAY,7,TRAIN,BP5,669,494
2023-12,WEEKDAY,8,TRAIN,SW6,9542,2324
2023-12,WEEKENDS/HOLIDAY,8,TRAIN,SW6,2058,615
2023-12,WEEKDAY,16,TRAIN,EW4,13483,12617
2023-12,WEEKENDS/HOLIDAY,16,TRAIN,EW4,8846,8252
2023-12,WEEKENDS/HOLIDAY,14,TRAIN,CC2,2189,2806
2023-12,WEEKDAY,14,TRAIN,CC2,4013,4634
2023-12,WEEKDAY,12,TRAIN,NE14,30235,18617
2023-12,WEEKENDS/HOLIDAY,12,TRAIN,NE14,20730,11863
2023-12,WEEKDAY,20,TRAIN,NE4/DT19,75494,32771
2023-12,WEEKENDS/HOLIDAY,20,TRAIN,NE4/DT19,41267,21601
2023-12,WEEKDAY,0,TRAIN,SE5,34,359
2023-12,WEEKENDS/HOLIDAY,0,TRAIN,SE5,28,302
2023-12,WEEKDAY,23,TRAIN,EW6,1415,6922
2023-12,WEEKENDS/HOLIDAY,23,TRAIN,EW6,966,3789
2023-12,WEEKENDS/HOLIDAY,12,TRAIN,CC4/DT15,6188,17597
2023-12,WEEKDAY,12,TRAIN,CC4/DT15,16119,30285
2023-12,WEEKENDS/HOLIDAY,15,TRAIN,NE4/DT19,44098,37354
2023-12,WEEKDAY,15,TRAIN,NE4/DT19,62350,51542
2023-12,WEEKDAY,8,TRAIN,SW1,3689,6564
2023-12,WEEKENDS/HOLIDAY,8,TRAIN,SW1,996,844
2023-12,WEEKDAY,9,TRAIN,NS10,55628,23254
2023-12,WEEKENDS/HOLIDAY,9,TRAIN,NS10,26898,10665
2023-12,WEEKENDS/HOLIDAY,7,TRAIN,DT33,7093,3056
2023-12,WEEKDAY,7,TRAIN,DT33,51579,12044
2023-12,WEEKDAY,0,TRAIN,DT24,46,415
2023-12,WEEKENDS/HOLIDAY,0,TRAIN,DT24,60,593
2023-12,WEEKDAY,0,TRAIN,NS18,256,1651
2023-12,WEEKENDS/HOLIDAY,0,TRAIN,NS18,217,1499
2023-12,WEEKDAY,22,TRAIN,NS24/NE6/CC1,40266,10378
2023-12,WEEKENDS/HOLIDAY,22,TRAIN,NS24/NE6/CC1,22491,7190
2023-12,WEEKDAY,21,TRAIN,EW3,9374,21347
2023-12,WEEKENDS/HOLIDAY,21,TRAIN,EW3,5323,10760
2023-12,WEEKDAY,21,TRAIN,CG1/DT35,18645,2756
2023-12,WEEKENDS/HOLIDAY,21,TRAIN,CG1/DT35,11892,2205
2023-12,WEEKENDS/HOLIDAY,13,TRAIN,NS21/DT11,35585,34951
2023-12,WEEKDAY,13,TRAIN,NS21/DT11,49069,58397
2023-12,WEEKDAY,17,TRAIN,TE12,12046,2622
2023-12,WEEKENDS/HOLIDAY,17,TRAIN,TE12,2167,1329
2023-12,WEEKENDS/HOLIDAY,7,TRAIN,CC23,806,3033
2023-12,WEEKDAY,7,TRAIN,CC23,2865,24503
2023-12,WEEKDAY,16,TRAIN,SW1,4861,2104
2023-12,WEEKENDS/HOLIDAY,16,TRAIN,SW1,1545,992
2023-12,WEEKDAY,20,TRAIN,NE15,10324,31235
2023-12,WEEKENDS/HOLIDAY,20,TRAIN,NE15,6101,13760
2023-12,WEEKENDS/HOLIDAY,13,TRAIN,EW29,6743,4488
2023-12,WEEKDAY,13,TRAIN,EW29,8803,7119
2023-12,WEEKENDS/HOLIDAY,13,TRAIN,EW30,1293,576
2023-12,WEEKDAY,13,TRAIN,EW30,1214,1051
2023-12,WEEKDAY,7,TRAIN,EW32,6068,30693
2023-12,WEEKENDS/HOLIDAY,7,TRAIN,EW32,3464,6109
2023-12,WEEKDAY,7,TRAIN,NE14,70765,21433
2023-12,WEEKENDS/HOLIDAY,7,TRAIN,NE14,12212,5309
2023-12,WEEKENDS/HOLIDAY,13,TRAIN,SE3,1968,1525
2023-12,WEEKDAY,13,TRAIN,SE3,2698,2371
2023-12,WEEKENDS/HOLIDAY,20,TRAIN,EW30,1336,1818
2023-12,WEEKDAY,20,TRAIN,EW30,6063,1525
2023-12,WEEKENDS/HOLIDAY,12,TRAIN,NS17/CC15,25583,20052
2023-12,WEEKDAY,12,TRAIN,NS17/CC15,42020,37408
2023-12,WEEKENDS/HOLIDAY,15,TRAIN,EW26,15419,13799
2023-12,WEEKDAY,15,TRAIN,EW26,18570,20166
2023-12,WEEKENDS/HOLIDAY,17,TRAIN,TE13,2493,2385
2023-12,WEEKDAY,17,TRAIN,TE13,7331,4150
2023-12,WEEKDAY,9,TRAIN,EW23,46746,44071
2023-12,WEEKENDS/HOLIDAY,9,TRAIN,EW23,22718,18213
2023-12,WEEKENDS/HOLIDAY,21,TRAIN,DT34,995,2625
2023-12,WEEKDAY,21,TRAIN,DT34,2347,4649
2023-12,WEEKENDS/HOLIDAY,17,TRAIN,NE12/CC13,40845,45425
2023-12,WEEKDAY,17,TRAIN,NE12/CC13,66821,99877
2023-12,WEEKDAY,8,TRAIN,NS21/DT11,87354,103305
2023-12,WEEKENDS/HOLIDAY,8,TRAIN,NS21/DT11,20045,21826
2023-12,WEEKDAY,0,TRAIN,NE16/STC,620,4523
2023-12,WEEKENDS/HOLIDAY,0,TRAIN,NE16/STC,529,3543
2023-12,WEEKDAY,20,TRAIN,DT5,9346,14507
2023-12,WEEKENDS/HOLIDAY,20,TRAIN,DT5,4641,7620
2023-12,WEEKDAY,15,TRAIN,DT22,6489,7298
2023-12,WEEKENDS/HOLIDAY,15,TRAIN,DT22,5958,7007
2023-12,WEEKDAY,21,TRAIN,CC27,4940,635
2023-12,WEEKENDS/HOLIDAY,21,TRAIN,CC27,1047,372
2023-12,WEEKDAY,15,TRAIN,SE4,2635,2954
2023-12,WEEKENDS/HOLIDAY,15,TRAIN,SE4,1858,1802
2023-12,WEEKENDS/HOLIDAY,19,TRAIN,PW6,540,871
2023-12,WEEKDAY,19,TRAIN,PW6,941,2886
2023-12,WEEKENDS/HOLIDAY,8,TRAIN,NE10,5946,4750
2023-12,WEEKDAY,8,TRAIN,NE10,32815,29424
2023-12,WEEKENDS/HOLIDAY,15,TRAIN,NS5,13725,14588
2023-12,WEEKDAY,15,TRAIN,NS5,18204,21279
2023-12,WEEKDAY,11,TRAIN,DT13,6876,12790
2023-12,WEEKENDS/HOLIDAY,11,TRAIN,DT13,5340,7719
2023-12,WEEKDAY,20,TRAIN,DT27,7707,9069
2023-12,WEEKENDS/HOLIDAY,20,TRAIN,DT27,2900,5026
2023-12,WEEKENDS/HOLIDAY,20,TRAIN,SW3,480,1372
2023-12,WEEKDAY,20,TRAIN,SW3,812,3285
2023-12,WEEKENDS/HOLIDAY,14,TRAIN,EW16/NE3/TE17,12571,9279
2023-12,WEEKDAY,14,TRAIN,EW16/NE3/TE17,27681,31392
2023-12,WEEKENDS/HOLIDAY,19,TRAIN,EW26,13102,19865
2023-12,WEEKDAY,19,TRAIN,EW26,24145,64566
2023-12,WEEKENDS/HOLIDAY,6,TRAIN,BP3,1542,271
2023-12,WEEKDAY,6,TRAIN,BP3,7658,897
2023-12,WEEKDAY,13,TRAIN,EW12/DT14,62563,76090
2023-12,WEEKENDS/HOLIDAY,13,TRAIN,EW12/DT14,36446,56487
2023-12,WEEKDAY,8,TRAIN,CG2,11915,30229
2023-12,WEEKENDS/HOLIDAY,8,TRAIN,CG2,6740,10392
2023-12,WEEKDAY,10,TRAIN,NS4/BP1,28703,21795
2023-12,WEEKENDS/HOLIDAY,10,TRAIN,NS4/BP1,19200,13568
2023-12,WEEKDAY,22,TRAIN,NS5,8801,30802
2023-12,WEEKENDS/HOLIDAY,22,TRAIN,NS5,5446,16574
2023-12,WEEKENDS/HOLIDAY,22,TRAIN,SE3,357,2374
2023-12,WEEKDAY,22,TRAIN,SE3,435,4343
2023-12,WEEKENDS/HOLIDAY,12,TRAIN,NS14,17836,11876
2023-12,WEEKDAY,12,TRAIN,NS14,26199,17612
2023-12,WEEKENDS/HOLIDAY,14,TRAIN,SE4,1915,1777
2023-12,WEEKDAY,14,TRAIN,SE4,2926,2805
2023-12,WEEKDAY,23,TRAIN,EW11,4934,7281
2023-12,WEEKENDS/HOLIDAY,23,TRAIN,EW11,3041,4685
