RoadName,LineID
STADIUM WALK,"112000084"
STADIUM WALK,"112000088"
GEYLANG ROAD,"103055948"
GEYLANG ROAD,"103057296"
GEYLANG ROAD,"103057300"
GEYLANG ROAD,"103062080"
GEYLANG ROAD,"103062092"
GEYLANG ROAD,"103072072"
GEYLANG ROAD,"103072780"
GEYLANG ROAD,"103072880"
GEYLANG ROAD,"103073320"
GEYLANG ROAD,"103074744"
GEYLANG ROAD,"103074748"
GEYLANG ROAD,"103074752"
GEYLANG ROAD,"103074756"
GEYLANG ROAD,"103074760"
GEYLANG ROAD,"103075920"
GEYLANG ROAD,"103075928"
GEYLANG ROAD,"103076084"
GEYLANG ROAD,"103077280"
GEYLANG ROAD,"103079304"
GEYLANG ROAD,"103081316"
GEYLANG ROAD,"103081324"
GEYLANG ROAD,"103081444"
GEYLANG ROAD,"103081448"
GEYLANG ROAD,"103081468"
GEYLANG ROAD,"103082156"
GEYLANG ROAD,"103082160"
GEYLANG ROAD,"103083736"
GEYLANG ROAD,"103083740"
GEYLANG ROAD,"107002316"
GEYLANG ROAD,"107002320"
GEYLANG ROAD,"107002460"
GEYLANG ROAD,"107002664"
GEYLANG ROAD,"107002736"
GEYLANG ROAD,"116002326"
SIMS WAY,"103055236"
SIMS WAY,"103055240"
SIMS WAY,"107002428"
SIMS WAY,"107002432"
SIMS WAY,"107002440"
SIMS WAY,"107002444"
SIMS WAY,"107002448"
SIMS WAY,"107002452"
SIMS WAY,"107002456"
SIMS WAY,"107002656"
SIMS WAY,"107002936"
SIMS WAY,"107002940"
SIMS WAY,"107002956"
SIMS WAY,"107002962"
SIMS WAY,"107002963"
SIMS WAY,"107002966"
SIMS WAY,"107002967"
SIMS WAY,"107002970"
SIMS WAY,"107002971"
SIMS WAY,"107002972"
SIMS WAY,"108001030"
SIMS WAY,"108001031"
SIMS WAY,"108003104"
SIMS WAY,"109001588"
SIMS WAY,"109001592"
SIMS WAY,"109001596"
SIMS WAY,"116002600"
SIMS WAY,"116002604"
STADIUM DRIVE,"103090030"
STADIUM DRIVE,"103090031"
STADIUM DRIVE,"108000678"
STADIUM DRIVE,"108000679"
STADIUM DRIVE,"112000326"
STADIUM DRIVE,"112000327"
STADIUM DRIVE,"112000330"
STADIUM DRIVE,"112000331"
STADIUM DRIVE,"112000334"
STADIUM DRIVE,"112000335"
STADIUM DRIVE,"114000152"
STADIUM DRIVE,"114000156"
STADIUM DRIVE,"114000160"
STADIUM DRIVE,"114000180"
STADIUM DRIVE,"114000414"
STADIUM DRIVE,"114000415"
STADIUM DRIVE,"116002624"
